X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
0.25406778,4.466034796,-0.440849751,0.056846384,0.216487316,18.14680683,0.092341872,0.23259208,0.31270048,1.022892996,0.038310165,0.110158762,0.034584967,0.347772292,0.038060555,0.034359628,0.281198616,0.708287257,0.253855464,0.081067824,0.877909695,0.969386441,1.107711497,1
0.097534691,2.55610842,1.54588478,0.214096591,0.399487148,50.9197225,0.223833653,0.668812756,0.303907833,1.380547092,0.05184768,0.132065476,0.040149128,0.39259072,0.147255113,0.114029486,0.234060162,0.699369464,0.181248444,0.098674683,0.440839356,0.091728485,1.291377501,1
0.10414229,2.615356039,-0.327828727,0.245082678,1.241427365,21.19869912,0.104005978,0.215418061,0.622204269,0.555634219,0.021880775,0.165628433,0.025757383,0.132107598,0.044980067,0.052949167,0.109530016,0.226859495,0.128935405,0.089241019,0.858037405,0.192476703,0.849495264,0
0.517740122,-0.598101199,-0.742726321,0.196326673,0.876115159,10.21140411,0.194486139,0.491201362,0.460142052,1.009295671,0.034321017,0.15631894,0.03508193,0.219557639,0.089040851,0.091014928,0.140237684,0.354189466,0.143346819,0.067525919,0.347201704,0.498810089,0.978310405,1
-0.009155471,1.558329963,0.718831632,0.216527635,16.44098268,7.367203082,0.152443065,0.303407255,0.712746916,0.222412725,-0.133080471,3.321036379,-0.35456857,-0.04007197,0.054706355,0.145755076,0.175504677,0.349306755,0.467600104,0.04263882,0.279703247,0.626879439,0.375330705,1
-0.085763095,13.79971038,-0.996029157,0.015637088,0.080930624,5.988052842,0.007211653,0.010180487,0.505019815,0.582914331,0.004204786,0.031020103,0.004833597,0.135550367,0.000129096,0.000148402,0.082055341,0.115835205,0.094326412,0.06448827,8.94223106,10.67968612,0.869908432,1
0.015166489,-0.063483257,-0.035392848,0.805576769,2.627572304,7.182094971,0.750931302,1.815096035,0.361172232,1.233209655,0.019841594,0.040906555,0.023856081,0.485046818,0.44090449,0.530111281,0.128631219,0.310917942,0.154656761,0.017320568,0.02306545,0.172839071,0.831720633,0
0.113177881,-0.718477325,-0.187255489,14.97356791,41.36842111,5.988709559,14.31439995,37.64158685,0.320278416,1.210841008,0.045404803,0.136062837,0.02867722,0.333704661,2.948434708,1.862201913,0.219261122,0.576575797,0.138483135,0.067384766,0.004707481,0.01115171,1.583305595,0
0.150624364,-0.90350951,-0.433121161,74.12136881,136.4356239,35.33406333,213.6444973,654.5523455,0.325600348,1.689320091,0.12475846,0.280626982,0.109821966,0.444570438,3.99283562,3.514800177,0.123009157,0.376868738,0.108282095,0.177353034,0.000830132,0.000381824,1.136006435,0
0.92705962,4.534855993,30.54137197,0.672325566,3.977757299,13.7946638,0.407343995,0.678251471,0.211409126,1.237217522,0.005484061,0.046522423,0.022288405,0.11787996,0.114432861,0.465079772,0.045543273,0.075832201,0.18509766,0.031448182,0.077203008,0.107822464,0.246049964,1
0.043064801,0.261098451,-0.867513525,0.083630494,0.222647313,9.751676623,0.034084049,0.100138926,0.242421436,1.96388257,0.072427798,0.180792785,0.095585404,0.400612216,0.013870196,0.018304964,0.089136507,0.261883031,0.117636449,0.070609343,2.071624272,1.226185136,0.757728641,0
0.120663791,0.097163719,1.733724757,0.125711667,0.389458016,10.69161363,0.159105609,0.436952721,0.285651246,1.772284076,0.014727934,0.042460623,0.019243735,0.346860992,0.067702518,0.088461106,0.069015006,0.18953634,0.090176023,0.144505398,0.908235727,0.744014088,0.765336547,0
